tstamp tipo nbytes
2400.26379 write 307
2405.3731 write 1815
2406.39149 read 3938
2407.44603 write 3953
2408.1308 read 953
2408.57497 read 148
2410.01169 read 521
2416.81424 write 223
2423.04344 read 124
2437.8346 read 114
2447.72612 read 569
2450.84265 read 493
2455.39607 read 119
2464.20311 read 4020
2471.7254 read 473
2476.93769 read 1097
2482.89805 read 116
2483.22305 read 1095
2484.78536 read 121
2485.79423 write 2158
2505.28189 read 113
2506.10672 write 3921
2507.23263 read 117
2512.15931 write 243
2512.91127 read 555
2513.02852 read 516
2517.82193 read 535
2525.00043 read 4173
2529.16203 read 108
2529.29384 read 493
2533.36248 read 119
2534.47833 read 436
2555.62779 read 129
2559.1519 read 135
2565.25132 write 1951
2585.99816 read 3753
2587.88201 read 487
2601.66196 write 289
2606.8553 read 557
2607.40597 write 4457
2609.585 read 120
2622.40544 read 1063
2630.90361 read 914
2645.09196 read 3886
2647.02617 write 2266
2652.07304 read 109
2656.5656 read 117
2663.85459 read 553
2668.61819 read 487
2672.43346 read 499
2673.31318 read 1057
2674.60236 read 1002
2677.71509 read 460
2679.31795 read 1013
2681.26731 read 1004
2690.55965 write 223
2698.5372 read 135
2704.36375 read 131
2704.8062 read 4147
2707.13544 write 4204
2715.99883 read 995
2717.03428 read 123
2727.85718 write 2127
2734.23763 read 1094
2743.58774 read 472
2746.55133 read 527
2749.17464 read 994
2752.36003 read 940
2756.19629 read 1039
2761.47457 read 520
2761.83086 read 520
2762.53253 read 994
2764.60318 read 3962
2769.36693 read 469
2774.78863 read 1179
2786.7396 read 129
2790.20288 read 1038
2790.3405 read 1012
2793.17183 read 122
2807.23443 write 1981
2807.24758 write 4335
2807.8445 read 506
2818.00229 read 1089
2821.77534 read 592
2821.81025 read 118
2825.35352 read 4487
2854.72273 read 531
2860.54683 read 517
2863.31042 read 126
2887.16195 write 2274
2887.77686 read 3467
2890.81531 read 102
2894.73816 read 527
2907.09649 write 4453
2912.04255 read 466
2918.59969 read 117
2921.2696 read 115
2928.71841 read 140
2944.6835 read 126
2945.14792 read 126
2947.21373 read 4451
2952.96682 write 258
2961.5302 read 950
2966.15521 read 442
2966.20337 write 2215
2976.48676 write 287
2986.46557 read 133
2997.55106 write 260
3005.52549 read 4057
3005.65652 read 131
3006.1566 read 126
3007.79152 write 4159
3010.82687 read 138
3019.5844 read 1101
3020.45161 read 137
3024.49766 read 117
3038.8497 read 558
3048.01442 write 2032
3063.52916 read 151
3065.60797 read 4028
3068.75498 write 251
3078.86456 read 133
3083.55732 write 197
3106.19359 write 4153
3108.56292 read 107
3111.13294 read 111
3126.26623 read 4210
3126.85077 write 2167
3129.13681 read 122
3136.88744 read 1163
3146.54939 read 1015
3165.72718 read 140
3167.1232 write 252
3185.3256 read 4042
3186.8376 read 117
3189.36387 read 152
3196.33066 read 504
3196.93205 write 276
3198.26175 read 113
3201.421 read 508
3204.75779 write 3951
3207.39598 write 1984
3214.85189 read 552
3233.47985 read 561
3237.72149 read 991
3245.58497 read 3766
3248.52264 write 269
3263.7016 read 127
3275.13151 read 120
3275.55286 read 928
3278.93466 write 291
3280.15695 write 240
3280.59889 read 102
3287.08485 write 2223
3290.07452 read 861
3296.26612 read 126
3302.81756 write 4416
3303.55675 write 231
3305.34779 read 4117
3306.9736 read 113
3311.51942 read 517
3321.40909 read 129
3323.54599 read 996
3325.59507 read 123
3335.64243 read 444
3356.09205 write 298
3360.59442 read 168
3365.22754 read 4386
3368.22905 write 2136
3370.20516 read 470
3376.10397 read 566
3398.66363 read 121
3399.87058 write 247
3401.15196 write 4212
3402.33309 read 136
3403.45013 read 538
3410.55191 read 1109
3412.85432 read 992
3414.46835 read 476
3414.72343 read 136
3418.01876 read 920
3418.86746 read 134
3423.84258 read 3950
3439.18416 write 261
3448.0826 write 1933
3451.32362 read 127
3452.21037 read 526
3456.4915 read 1000
3464.8931 read 137
3483.39434 read 4358
3489.15368 read 152
3495.22594 read 529
3497.73906 read 892
3502.85002 write 4079
3504.14857 read 981
3504.73217 read 123
3520.01384 read 481
3521.44726 read 127
3526.29024 write 2066
3531.38408 read 136
3531.50251 read 123
3539.29341 read 526
3542.35782 write 292
3542.53367 read 4044
3544.83899 read 415
3549.9912 write 268
3557.01828 read 136
3561.78716 read 133
3561.90407 read 146
3571.2007 read 128
3582.97897 read 477
3584.09981 read 558
3591.60252 read 123
3601.65269 read 969
3602.84047 read 3743
3603.98807 write 3802
3605.06454 write 2260
3620.94318 read 472
3624.93466 read 119
3626.70936 read 1011
3627.08058 write 256
3627.36762 write 294
3652.36376 read 1107
3663.46328 read 3699
3663.76012 write 264
3664.56354 read 1125
3665.43086 read 533
3676.37025 read 129
3677.0093 read 483
3677.55879 read 124
3683.68521 read 132
3683.72497 write 2428
3696.12703 read 1127
3700.07054 read 122
3702.02706 write 4050
3723.82673 read 3909
3734.80263 read 1035
3755.88515 read 112
3756.09756 read 983
3758.05934 read 92
3760.40361 write 277
3760.75416 write 268
3763.65591 write 2059
3768.69427 read 518
3774.65282 read 130
3782.84547 read 127
3783.81741 read 4554
3801.44642 read 995
3801.99255 write 4127
3810.79711 read 585
3830.94388 read 906
3831.12145 read 134
3832.811 read 151
3844.39343 write 1754
3844.48041 read 4459
3844.96882 read 121
3851.93517 read 1041
3859.99996 read 518
3865.7882 read 136
3877.25997 read 430
3879.63417 read 1153
3887.81594 write 281
3889.53998 read 131
3890.15412 read 133
3893.96295 read 119
3900.8977 write 4020
3904.63373 write 201
3905.73496 write 305
3905.86786 read 4360
3917.92349 read 569
3923.79046 read 118
3924.41126 write 2258
3927.56961 write 273
3929.34555 read 113
3943.30884 read 484
3952.35154 read 132
3955.89588 read 140
3957.85552 read 1076
3959.497 read 102
3965.94025 read 534
3966.10363 read 4282
3979.12806 read 512
3994.50659 read 130
3998.00026 read 104
4000.89033 write 4081
4004.18635 write 1775
4022.13757 read 1066
4024.99785 read 4379
4027.31266 read 136
4027.54778 read 992
4039.7654 read 601
4044.59665 read 1027
4050.0795 write 290
4052.22748 write 253
4064.06483 read 110
4078.69972 read 113
4079.99838 write 252
4083.47861 read 122
4084.09957 read 4525
4084.20775 write 2141
4086.52852 read 128
4087.12289 read 540
4093.60762 write 240
4095.72468 write 257
4100.44582 write 3977
4105.07134 read 461
4119.8567 read 131
4129.27338 read 493
4143.65288 read 4182
4156.71067 write 261
4158.44147 read 117
4159.21102 read 106
4161.66435 write 1651
4190.37256 read 117
4200.52285 write 3864
4202.86454 read 3747
4204.39343 write 239
4213.92754 read 99
4216.26167 write 256
4219.26764 read 123
4226.25648 read 541
4230.12173 read 129
4235.16711 read 879
4241.74737 write 2163
4243.79438 read 126
4249.86674 read 147
4260.89073 read 4655
4264.68102 read 141
4268.50738 read 898
4269.29781 read 121
4275.24703 read 538
4287.61785 read 118
4290.47382 read 1117
4299.63545 read 607
4299.89706 write 4368
4304.23814 read 911
4308.40622 read 489
4319.1422 read 3743
4323.10765 write 2300
4336.18341 read 119
4339.36492 write 265
4344.71407 read 151
4355.00583 read 140
4357.95501 read 507
4375.3531 read 116
4378.34145 read 403
4379.95818 read 4688
4391.90564 read 1103
4399.09647 read 1046
4399.75163 write 3809
4403.2805 write 1900
4403.99148 read 135
4412.86525 read 138
4414.51298 write 251
4424.09585 read 132
4429.45216 read 499
4437.80712 read 4249
4443.36083 read 524
4482.88614 write 1597
4492.4109 read 103
4497.84837 read 127
4498.05641 read 131
4499.19931 read 4056
4500.35875 write 4008
4503.71463 read 497
4511.28599 read 125
4516.0183 read 512
4519.95354 read 969
4525.03885 read 122
4556.00369 write 269
4558.82259 read 3827
4560.18198 read 967
4563.96494 write 1685
4572.41286 read 509
4576.67767 write 275
4585.75394 read 419
4590.42828 read 1071
4600.84341 write 4139
4606.6523 read 563
4618.5556 read 1015
4619.26368 read 4101
4635.79115 read 137
4639.82963 read 465
4643.00665 write 2043
4654.4191 write 257
4662.11821 read 142
4675.26975 read 498
4678.63534 write 287
4679.31023 read 4417
4680.71683 read 948
4681.23892 read 114
4681.72075 read 122
4684.95077 read 954
4686.13927 read 129
4687.6157 read 1041
4689.90211 read 520
4700.73255 write 4075
4722.25572 write 2680
4724.87212 read 102
4738.67529 read 4174
4745.78869 read 120
4745.82454 read 1094
4754.2527 read 529
4770.73941 read 503
4777.57689 write 229
4796.0565 read 3929
4798.5354 write 254
4801.77207 write 1928
4803.11106 write 4231
4804.67707 read 1050
4817.17577 read 1126
4821.59109 write 264
4833.70206 write 278
4849.2281 read 1112
4852.01075 read 1129
4855.86638 read 497
4856.72638 read 3374
4873.8839 read 999
4877.11314 read 114
4881.25182 write 1642
4889.24526 read 951
4902.64187 write 4059
4904.70241 write 262
4907.89289 read 134
4910.4284 read 944
4917.50932 read 3856
4921.7801 write 305
4931.04381 read 485
4933.1793 read 515
4937.41324 read 115
4938.77358 read 129
4960.72773 write 2060
4962.10627 read 1019
4978.88557 read 3649
4983.41168 write 272
4987.53245 read 105
4994.77988 read 132
5000.0099 read 114
5003.61072 write 4277
5010.08648 read 124
5016.06402 read 125
5039.12994 read 3833
5041.8896 write 1762
5042.16454 read 536
5062.88447 read 1043
5084.64534 read 979
5094.51681 read 481
5098.98086 read 4467
5103.37923 write 4278
5103.67191 read 452
5113.58685 read 1052
5115.49555 read 978
5122.28289 write 2405
5122.99395 read 133
5127.57029 read 516
5129.68107 read 1100
5148.04606 read 935
5151.5335 read 134
5159.12836 read 3844
5179.85587 read 116
5180.17623 read 511
5192.78317 read 520
5201.02429 write 2209
5201.70781 read 134
5205.52523 write 4200
5205.74424 read 132
5208.09654 read 498
5210.79681 read 450
5214.80318 read 129
5219.64361 read 4176
5219.71228 read 138
5220.41851 write 243
5243.22191 write 241
5259.99762 read 478
5278.8093 read 3706
5280.83339 write 1908
5294.76531 read 542
5298.75019 read 609
5305.36262 write 4419
5306.47979 read 131
5307.60764 read 123
5314.57883 read 152
5315.71605 read 138
5324.85371 read 147
5331.15425 read 121
5338.55045 read 112
5339.54679 read 3963
5357.7399 write 208
5360.40983 write 2104
5362.0726 read 130
5371.74121 read 520
5385.87511 read 127
5401.65654 read 4053
5404.85744 write 4442
5405.94788 read 463
5420.84478 read 1005
5421.64196 read 460
5424.51039 read 137
5425.27118 read 149
5425.72763 read 124
5430.45538 read 515
5431.66846 write 250
5439.46338 write 2209
5440.51957 read 118
5443.79956 read 462
5445.76141 read 507
5457.65128 read 578
5457.70562 read 109
5458.99815 read 131
5461.02197 read 3707
5475.30235 read 492
5477.94198 read 127
5478.8922 read 462
5499.60692 read 1034
5503.39864 write 3935
5514.35275 read 535
5515.32515 read 139
5519.17784 write 1823
5519.37559 read 3793
5536.05733 read 110
5540.62011 write 247
5545.12906 read 134
5552.96656 read 137
5560.47879 read 433
5574.16754 read 542
5579.07709 read 4403
5598.70705 write 2009
5603.72092 write 4298
5610.14674 read 994
5610.27008 read 1097
5614.55604 read 137
5633.3124 read 120
5636.51293 read 1119
5638.02441 read 3948
5640.72379 read 1095
5640.93421 write 238
5649.68944 read 1160
5649.88069 read 1124
5652.76757 read 139
5666.07763 read 1196
5678.05783 write 2024
5680.27293 read 537
5689.6176 write 221
5690.89822 read 443
5691.97128 read 1066
5696.77201 read 4408
5703.5233 write 4272
5706.53476 write 265
5717.30751 read 879
5721.07179 write 266
5726.08185 write 270
5726.55211 read 540
5732.23356 write 272
5732.56006 read 138
5737.77705 read 599
5756.28387 read 131
5756.65994 read 539
5757.00733 read 4762
5758.5937 read 946
5759.57656 write 1925
5798.70857 read 159
5802.01349 write 4124
5808.70711 read 126
5811.7388 read 112
5817.77113 read 4197
5836.69785 read 995
5838.65414 read 143
5839.8477 write 1975
5845.90259 read 107
5876.98987 read 3958
5901.51986 read 130
5902.77143 write 3792
5904.47832 write 296
5920.17448 write 2315
5928.51608 read 134
5938.54371 read 3764
5946.8437 read 558
5973.09268 read 925
5974.18545 read 1122
5983.93965 read 572
5984.08709 read 116
5984.83914 read 514
5985.1872 read 150
5985.65297 read 128
5990.00667 read 1103
5995.3073 read 1066
5999.18985 read 3975
6001.20191 write 1833
6002.36385 read 539
6003.50082 write 4047
6013.84639 read 532
6016.70355 read 108
6035.95143 write 283
6038.62338 read 474
6038.66909 read 1098
6047.4489 read 567
6057.19026 read 4027
6058.8497 read 861
6072.6451 write 295
6077.25616 read 1024
6078.5393 read 508
6082.3384 write 2199
6088.07514 read 1028
6088.45164 read 123
6091.84459 read 471
6103.21511 write 3710
6111.7086 read 132
6116.0122 write 300
6117.4088 read 112
6118.28956 read 3778
6118.97199 read 129
6126.15284 read 598
6128.25014 read 1062
6131.71987 read 1108
6135.64595 read 145
6140.05161 read 109
6140.6409 read 114
6162.32327 write 1956
6171.29598 write 287
6179.51651 read 4046
6186.80731 read 143
6193.80605 read 117
6194.95986 write 258
6197.86887 write 265
6198.33925 read 629
6204.81547 read 1053
6205.08414 write 4324
6212.73731 read 134
6220.1073 write 202
6237.30196 read 497
6241.3109 read 3586
6241.67762 read 933
6242.39009 write 2057
6249.25179 read 988
6250.08255 write 259
6255.61571 write 259
6259.06079 read 1046
6281.6551 write 239
6287.75106 read 126
6295.74171 read 144
6296.30638 read 465
6296.97032 write 280
6299.78252 read 3797
6304.37112 write 4010
6305.94463 write 215
6306.7801 read 128
6318.16558 read 104
6322.74513 write 1863
6330.77774 read 946
6340.11442 write 289
6360.979 read 4138
6367.80803 read 530
6369.03735 read 128
6373.39986 read 485
6393.64881 read 128
6402.80059 write 2177
6404.87591 write 4268
6415.28358 read 116
6420.98386 read 511
6421.47809 write 233
6422.07068 read 3876
6426.63088 read 550
6442.87132 read 1189
6459.1884 read 520
6470.18038 read 497
6471.61002 read 510
6480.43022 write 222
6480.71092 read 3819
6482.14956 write 1866
6490.76791 read 988
6504.16975 read 1114
6505.47769 write 4244
6539.97675 read 4156
6549.26979 read 481
6563.18226 write 1825
6571.31654 write 250
6588.16116 write 258
6588.95921 read 109
6594.99586 read 1093
6595.8658 read 98
6599.02781 read 3442
6599.13135 read 142
6604.78936 read 115
6605.4332 write 3923
6607.09624 read 974
6618.29581 read 140
6630.55708 read 1061
6643.7598 read 158
6643.76001 write 2301
6648.47738 write 259
6657.30686 read 4278
6660.0581 read 970
6664.82898 read 1163
6667.6485 read 465
6670.59244 read 1058
6681.25022 write 242
6703.85176 read 1082
6706.13527 write 4073
6718.88222 read 4053
6724.21357 write 2284
6729.10519 read 131
6732.08144 read 128
6732.60932 read 142
6738.91893 read 943
6739.27239 read 118
6743.58723 read 117
6756.71869 read 142
6759.32407 write 254
6763.64709 write 206
6770.8286 read 118
6775.40246 read 153
6776.83948 read 1064
6778.13042 read 3919
6804.24093 read 1036
6805.82409 write 2062
6806.82178 write 4193
6808.98828 read 133
6813.22283 read 139
6816.13793 read 121
6818.21164 read 533
6831.72063 write 255
6839.43543 read 4474
6846.27312 read 548
6846.52829 read 108
6860.90859 read 493
6861.66951 write 275
6865.80735 read 117
6868.94423 read 1060
6872.45684 read 124
6883.35412 read 139
6883.65134 read 1056
6886.01739 write 2216
6887.66292 read 122
6898.02506 read 4277
6907.99046 write 4149
6910.65844 read 1066
6912.0978 write 242
6922.98198 read 501
6937.70766 read 1213
6941.7439 write 212
6945.05964 read 518
6959.97531 read 4288
6960.38295 read 529
6964.73382 read 1029
6967.22649 write 2054
6987.02273 read 549
6996.53916 read 515
6998.74972 read 122
7007.97468 write 4288
7008.21428 read 128
7015.00695 read 126
7015.98693 read 118
7019.89717 read 504
7020.06869 read 4472
7034.43407 read 523
7043.08008 read 146
7046.4471 write 2286
7055.45367 read 109
7081.91568 read 4118
7087.5023 write 254
7088.84282 write 235
7106.90392 write 4480
7117.68601 read 467
7125.06083 write 2160
7142.42176 read 3538
7147.63879 read 1034
7148.46738 read 119
7162.42629 read 143
7173.89632 read 586
7176.5857 read 145
7178.28816 read 942
7179.21759 write 251
7182.46433 read 1026
7191.5141 write 275
7203.26969 read 135
7203.472 read 3920
7204.58279 write 1802
7207.71063 write 3803
7212.82021 read 120
7218.32584 read 496
7234.71067 read 137
7240.94353 read 919
7251.70781 read 517
7252.68688 read 125
7255.15345 read 473
7256.34984 write 242
7257.56706 read 498
7261.19378 read 4288
7286.02746 write 1946
7288.40288 read 100
7297.41164 read 138
7302.32153 write 239
7307.01619 write 4123
7312.33083 write 238
7315.99056 read 125
7316.89938 write 239
7321.3797 read 4092
7335.40607 read 131
7347.43393 read 136
7347.55131 read 997
7349.38662 read 991
7364.79972 read 951
7366.09837 write 2129
7381.15948 read 4065
7384.73863 read 490
7388.90691 read 125
7396.97052 read 124
7406.85713 write 4365
7407.64641 read 134
7413.94073 read 456
7415.10063 read 970
7441.90847 read 122
7442.15684 read 4489
7442.9763 read 141
7445.03316 read 476
7446.04101 write 1815
7455.52944 read 970
7466.35155 read 1028
7467.29267 read 1012
7470.3538 read 953
7475.43694 read 144
7502.92245 read 3746
7502.94625 read 486
7507.02182 read 97
7507.19696 write 4159
7511.05248 read 134
7517.91472 read 420
7525.23512 read 451
7525.27203 write 2296
7558.4649 read 488
7563.84449 read 4306
7586.2956 read 132
7597.03032 read 134
7598.27789 read 1169
7604.55206 write 2509
7607.1261 write 3989
7617.17073 read 610
7623.55129 read 4242
7655.4156 read 816
7666.33408 read 955
7669.5068 read 935
7671.78326 read 490
7684.43143 write 2031
7684.51111 read 4703
7704.75562 read 123
7705.16296 write 4391
7715.14212 read 520
7720.61547 write 309
7727.72844 read 917
7729.54587 read 497
7734.46052 read 139
7740.31947 read 549
7745.52573 read 3908
7758.55261 write 268
7761.22755 read 1027
7763.62802 write 1923
7780.33161 read 119
7787.87732 read 128
7801.24623 read 550
7802.99223 write 4165
7806.03317 read 4180
7809.25776 read 521
7813.30295 read 562
7814.05573 read 461
7824.38392 read 138
7831.41352 write 267
7834.54463 read 150
7835.7107 write 240
7844.14894 write 2143
7851.10059 read 120
7851.78744 write 270
7859.88193 read 502
7864.75587 read 1056
7866.30396 read 3842
7870.01302 read 1173
7878.42547 read 132
7889.85039 write 247
7890.9414 read 132
7891.6672 write 234
7899.13139 read 151
7900.59365 read 1025
7902.65587 write 4164
7906.96107 read 488
7917.79066 read 141
7919.37523 read 539
7921.61052 write 1827
7926.95562 read 3980
7927.58287 read 131
7943.14364 read 128
7944.01751 read 568
7953.74552 read 138
7954.97011 read 939
7972.27311 read 552
7973.7632 read 141
7977.29818 read 118
7987.04476 read 4266
8001.54233 write 2160
8004.75526 write 3869
8008.46364 read 559
8009.90326 read 136
8042.29725 write 240
8046.66439 read 4148
8054.29653 write 275
8054.77235 read 128
8059.60064 read 137
8059.60392 read 490
8068.2368 read 523
8082.76573 write 1801
8099.41434 read 123
8100.61466 read 1028
8104.16617 write 3751
8106.16512 read 154
8106.82738 read 4093
8111.67426 read 548
8115.00804 read 496
8119.81087 read 109
8145.03485 read 152
8146.72649 read 122
8153.64774 read 119
8163.93764 write 1998
8165.32861 read 4011
8178.4586 write 230
8191.86593 write 248
8192.47656 read 1142
8199.65096 read 469
8201.01635 read 134
8201.99678 read 464
8202.20611 read 104
8203.26502 write 4300
8210.14606 write 197
8210.24123 write 289
8212.10839 read 1104
8224.25081 read 3910
8235.1716 read 118
8237.85707 read 476
8244.30331 write 2072
8254.85839 read 565
8264.24486 read 469
8266.22969 read 1109
8267.32018 write 235
8271.91363 read 1096
8274.27295 read 464
8277.58801 read 124
8283.19059 read 502
8283.55015 read 1032
8285.84612 read 4402
